age,qx,px,lx,dx,ex
51,0.00353,0.99647,94173.46675792917,332.43233765548996,32.21714807097681
52,0.00373,0.99627,93841.03442027367,350.0270583876208,31.33127748048292
53,0.00395,0.99605,93491.00736188605,369.2894790794499,30.448580686443353
54,0.00418,0.99582,93121.7178828066,389.2487807501315,29.56932953811892
55,0.00444,0.99556,92732.46910205646,411.73216281313074,28.693448151391742
56,0.00472,0.99528,92320.73693924335,435.75387835322863,27.82141523503529
57,0.00503,0.99497,91884.98306089011,462.1814647962772,26.95335507097027
58,0.00537,0.99463,91422.80159609384,490.9404445710239,26.08961583863862
59,0.00574,0.99426,90931.86115152283,521.948883009741,25.230473481232853
60,0.00615,0.99385,90409.91226851309,556.0209604513554,24.376132481677676
61,0.0066,0.9934,89853.89130806173,593.0356826332074,23.5269733678902
62,0.0071,0.9929,89260.85562542852,633.7520749405426,22.683283035927328
63,0.00766,0.99234,88627.10355048797,678.8836131967379,21.845485986430987
64,0.00828,0.99172,87948.21993729124,728.2112610807715,21.014114100440356
65,0.00898,0.99102,87220.00867621048,783.2356779123701,20.18956368777513
66,0.00976,0.99024,86436.77299829811,843.6229044633895,19.372508816951356
67,0.01063,0.98937,85593.15009383472,909.855185497463,18.56344807011568
68,0.01162,0.98838,84683.29490833725,984.0198868348789,17.762897672373008
69,0.01273,0.98727,83699.27502150237,1065.4917710237253,16.97172916527348
70,0.01398,0.98602,82633.78325047865,1155.2202898416915,16.190565058467783
71,0.01539,0.98461,81478.56296063695,1253.9550839642025,15.4201183124762
72,0.01698,0.98302,80224.60787667274,1362.213841745903,14.661143307986103
73,0.01878,0.98122,78862.39403492682,1481.0357599759259,13.914389644143663
74,0.02081,0.97919,77381.35827495091,1610.3060657017284,13.180703251201225
75,0.02311,0.97689,75771.05220924917,1751.0690165557482,12.460822977360085
76,0.02572,0.97428,74019.98319269343,1903.793967716075,11.755605009120869
77,0.02867,0.97133,72116.18922497735,2067.571145080101,11.065941011948176
78,0.03203,0.96797,70048.61807989726,2243.6572370991094,10.392565875601678
79,0.03584,0.96416,67804.96084279816,2430.129796605886,9.736454513674678
80,0.04018,0.95982,65374.831046192274,2626.7607114360057,9.098380469709046
81,0.04511,0.95489,62748.07033475627,2830.565452800855,8.479257016637542
82,0.05073,0.9492700000000001,59917.50488195541,3039.615022661598,7.879825965962094
83,0.05713,0.94287,56877.88985929382,3249.433847661456,7.300932259485807
84,0.06441,0.93559,53628.45601163236,3454.20885170924,6.743307411929331
85,0.0727,0.9273,50174.24715992312,3647.667768526411,6.207545411910485
86,0.08213,0.91787,46526.57939139671,3821.2279654154117,5.694214830055522
87,0.09284,0.90716,42705.3514259813,3964.764826388104,5.203726922173642
88,0.10501,0.89499,38740.586599593196,4068.148998823282,4.736283480503597
89,0.11883,0.88117,34672.43760076991,4120.125760099489,4.2919959781713715
90,0.13451,0.86549,30552.311840670427,4109.591465688579,3.870792217360297
91,0.1523,0.8477,26442.720374981847,4027.226313109735,3.4723708157925537
92,0.17246,0.8275399999999999,22415.494061872112,3865.7761059104646,3.0962260419872045
93,0.19532,0.8046800000000001,18549.71795596165,3623.130911158429,2.741482033481409
94,0.22123,0.77877,14926.587044803218,3302.208851921816,2.406922047871711
95,0.25059,0.74941,11624.378192881402,2912.95293135415,2.0906712480857137
96,0.28383,0.71617,8711.42526152725,2472.5638319792797,1.7897562723818918
97,0.32145,0.67855,6238.861429547972,2005.4820065281956,1.499066244581443
98,0.36402,0.63598,4233.379423019776,1541.0347775676591,1.2092200200153902
99,0.41217,0.5878300000000001,2692.344645452117,1109.7036925159991,0.9013491305000001
100,0.46665,0.53335,1582.6409529361183,738.5394006876396,0.53335
